Date,Daytime,Game time [s]
19.04.2021,22:34:00,246
19.04.2021,22:35:50,86
19.04.2021,22:56:56,168
20.04.2021,10:57:17,145
20.04.2021,19:57:39,1014
20.04.2021,19:59:06,8
20.04.2021,20:02:13,8
20.04.2021,20:09:45,8
20.04.2021,20:44:13,8
20.04.2021,20:45:35,9
20.04.2021,20:46:22,5
20.04.2021,21:11:09,6
20.04.2021,22:14:40,6
20.04.2021,22:15:40,9
20.04.2021,22:15:51,11
20.04.2021,22:26:38,7
20.04.2021,22:27:36,58
21.04.2021,14:00:14,108
21.04.2021,14:08:22,8
21.04.2021,14:09:25,213
21.04.2021,14:31:36,8
21.04.2021,14:31:53,167
25.04.2021,12:17:51,11
25.04.2021,12:42:52,1
25.04.2021,21:24:20,152
25.04.2021,21:33:06,173
25.04.2021,21:59:07,85
30.04.2021,17:15:14,136
30.04.2021,17:23:56,131
30.04.2021,17:24:22,39
30.04.2021,17:27:08,9
30.04.2021,17:31:00,8
30.04.2021,17:32:14,6
30.04.2021,17:39:01,7
30.04.2021,17:39:14,12
30.04.2021,17:40:06,6
30.04.2021,17:40:59,11
30.04.2021,17:42:24,14
30.04.2021,17:48:01,6
30.04.2021,17:49:13,6
30.04.2021,17:50:18,6
30.04.2021,17:50:52,114
30.04.2021,17:53:31,6
30.04.2021,17:56:36,131
30.04.2021,20:10:28,552
